RS	item	label	wd
9190	http://world.squirrel.link/ontology#district_09190	Weilheim-Schongau	http://www.wikidata.org/entity/Q10516
9261	http://world.squirrel.link/ontology#district_09261	Landshut	http://www.wikidata.org/entity/Q3974
9262	http://world.squirrel.link/ontology#district_09262	Passau	http://www.wikidata.org/entity/Q4190
9263	http://world.squirrel.link/ontology#district_09263	Straubing	http://www.wikidata.org/entity/Q7027
9271	http://world.squirrel.link/ontology#district_09271	Deggendorf	http://www.wikidata.org/entity/Q10485
9272	http://world.squirrel.link/ontology#district_09272	Freyung-Grafenau	http://www.wikidata.org/entity/Q10487
9273	http://world.squirrel.link/ontology#district_09273	Kelheim	http://www.wikidata.org/entity/Q10474
9274	http://world.squirrel.link/ontology#district_09274	Landshut	http://www.wikidata.org/entity/Q10475
9275	http://world.squirrel.link/ontology#district_09275	Passau	http://www.wikidata.org/entity/Q10489
9276	http://world.squirrel.link/ontology#district_09276	Regen	http://www.wikidata.org/entity/Q10483
9277	http://world.squirrel.link/ontology#district_09277	Rottal-Inn	http://www.wikidata.org/entity/Q10477
9278	http://world.squirrel.link/ontology#district_09278	Straubing-Bogen	http://www.wikidata.org/entity/Q10482
9279	http://world.squirrel.link/ontology#district_09279	Dingolfing-Landau	http://www.wikidata.org/entity/Q10480
9361	http://world.squirrel.link/ontology#district_09361	Amberg	http://www.wikidata.org/entity/Q7042
9362	http://world.squirrel.link/ontology#district_09362	Regensburg	http://www.wikidata.org/entity/Q2978
9363	http://world.squirrel.link/ontology#district_09363	Weiden i.d. OPf.	http://www.wikidata.org/entity/Q14803
9371	http://world.squirrel.link/ontology#district_09371	Amberg-Sulzbach	http://www.wikidata.org/entity/Q10421
9372	http://world.squirrel.link/ontology#district_09372	Cham	http://www.wikidata.org/entity/Q10424
9373	http://world.squirrel.link/ontology#district_09373	Neumarkt i.d. OPf.	http://www.wikidata.org/entity/Q10427
9374	http://world.squirrel.link/ontology#district_09374	Neustadt a.d. Waldnaab	http://www.wikidata.org/entity/Q10420
9375	http://world.squirrel.link/ontology#district_09375	Regensburg	http://www.wikidata.org/entity/Q10429
9376	http://world.squirrel.link/ontology#district_09376	Schwandorf	http://www.wikidata.org/entity/Q10423
9377	http://world.squirrel.link/ontology#district_09377	Tirschenreuth	http://www.wikidata.org/entity/Q10419
9461	http://world.squirrel.link/ontology#district_09461	Bamberg	http://www.wikidata.org/entity/Q3936
9462	http://world.squirrel.link/ontology#district_09462	Bayreuth	http://www.wikidata.org/entity/Q3923
9463	http://world.squirrel.link/ontology#district_09463	Coburg	http://www.wikidata.org/entity/Q14821
9464	http://world.squirrel.link/ontology#district_09464	Hof	http://www.wikidata.org/entity/Q6938
9471	http://world.squirrel.link/ontology#district_09471	Bamberg	http://www.wikidata.org/entity/Q10444
9472	http://world.squirrel.link/ontology#district_09472	Bayreuth	http://www.wikidata.org/entity/Q10439
9473	http://world.squirrel.link/ontology#district_09473	Coburg	http://www.wikidata.org/entity/Q10440
9474	http://world.squirrel.link/ontology#district_09474	Forchheim	http://www.wikidata.org/entity/Q10445
9475	http://world.squirrel.link/ontology#district_09475	Hof	http://www.wikidata.org/entity/Q10431
9476	http://world.squirrel.link/ontology#district_09476	Kronach	http://www.wikidata.org/entity/Q10434
